name;image;landmass;zone;area;population;language;religion;bars;stripes;colours;red ;green;blue;gold;white;black;orange ;mainhue;circles;crosses;saltires;quarters;sunstars;crescent;triangle;icon;animate;text;topleft;botright
Aruba;https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Aruba.svg;5;1;648;16;10;2;0;3;5;1;1;0;1;1;1;0;green;0;0;0;0;1;0;0;1;0;0;black;green
Aland;https://upload.wikimedia.org/wikipedia/commons/5/52/Flag_of_%C3%85land.svg;5;1;648;16;10;2;0;3;5;1;1;0;1;1;1;0;green;0;0;0;0;1;0;0;1;0;0;black;green
Armenia;https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg;5;1;648;16;10;2;0;3;5;1;1;0;1;1;1;0;green;0;0;0;0;1;0;0;1;0;0;black;green
Antarctica;https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Antarctica#/media/File:Nuvola_Antarctica_flag.svg;5;1;648;16;10;2;0;3;5;1;1;0;1;1;1;0;green;0;0;0;0;1;0;0;1;0;0;black;green
Afghanistan;https://upload.wikimedia.org/wikipedia/commons/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg;5;1;648;16;10;2;0;3;5;1;1;0;1;1;1;0;green;0;0;0;0;1;0;0;1;0;0;black;green
Albania;https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg;3;1;29;3;6;6;0;0;3;1;0;0;1;0;1;0;red;0;0;0;0;1;0;0;0;1;0;red;red
Algeria;https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg;4;1;2388;20;8;2;2;0;3;1;1;0;0;1;0;0;green;0;0;0;0;1;1;0;0;0;0;green;white
American Samoa;https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg;6;3;0;0;1;1;0;0;5;1;0;1;1;1;0;1;blue;0;0;0;0;0;0;1;1;1;0;blue;red
Andorra;https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg;3;1;0;0;6;0;3;0;3;1;0;1;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;blue;red
Angola;https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg;4;2;1247;7;10;5;0;2;3;1;0;0;1;0;1;0;red;0;0;0;0;1;0;0;1;0;0;red;black
Anguilla;https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg;1;4;0;0;1;1;0;1;3;0;0;1;0;1;0;1;white;0;0;0;0;0;0;0;0;1;0;white;blue
Antigua-Barbuda;https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg;1;4;0;0;1;1;0;1;5;1;0;1;1;1;1;0;red;0;0;0;0;1;0;1;0;0;0;black;red
Argentina;https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg;2;3;2777;28;2;0;0;3;2;0;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Australia;https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg;6;2;7690;15;1;1;0;0;3;1;0;1;0;1;0;0;blue;0;1;1;1;6;0;0;0;0;0;white;blue
Austria;https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg;3;1;84;8;4;0;0;3;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;red
Bahamas;https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg;1;4;19;0;1;1;0;3;3;0;0;1;1;0;1;0;blue;0;0;0;0;0;0;1;0;0;0;blue;blue
Bahrain;https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg;5;1;1;0;8;2;0;0;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;white;red
Bangladesh;https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg;5;1;143;90;6;2;0;0;2;1;1;0;0;0;0;0;green;1;0;0;0;0;0;0;0;0;0;green;green
Barbados;https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg;1;4;0;0;1;1;3;0;3;0;0;1;1;0;1;0;blue;0;0;0;0;0;0;0;1;0;0;blue;blue
Belgium;https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg;3;1;31;10;6;0;3;0;3;1;0;0;1;0;1;0;gold;0;0;0;0;0;0;0;0;0;0;black;red
Belize;https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg;1;4;23;0;1;1;0;2;8;1;1;1;1;1;1;1;blue;1;0;0;0;0;0;0;1;1;1;red;red
Benin;https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg;4;1;113;3;3;5;0;0;2;1;1;0;0;0;0;0;green;0;0;0;0;1;0;0;0;0;0;green;green
Bermuda;https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;1;0;red;1;1;1;1;0;0;0;1;1;0;white;red
Bhutan;https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg;5;1;47;1;10;3;0;0;4;1;0;0;0;1;1;1;orange;4;0;0;0;0;0;0;0;1;0;orange;red
Bolivia;https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Bolivia_%28state%29.svg;2;3;1099;6;2;0;0;3;3;1;1;0;1;0;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Botswana;https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg;4;2;600;1;10;5;0;5;3;0;0;1;0;1;1;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Brazil;https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg;2;3;8512;119;6;0;0;0;4;0;1;1;1;1;0;0;green;1;0;0;0;22;0;0;0;0;1;green;green
British-Virgin-Isles;https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;0;1;blue;0;1;1;1;0;0;0;1;1;1;white;blue
Brunei;https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg;5;1;6;0;10;2;0;0;4;1;0;0;1;1;1;0;gold;0;0;0;0;0;0;1;1;1;1;white;gold
Bulgaria;https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg;3;1;111;9;5;6;0;3;5;1;1;1;1;1;0;0;red;0;0;0;0;1;0;0;1;1;0;white;red
Burkina;https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg;4;4;274;7;3;5;0;2;3;1;1;0;1;0;0;0;red;0;0;0;0;1;0;0;0;0;0;red;green
Burma;https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg;5;1;678;35;10;3;0;0;3;1;0;1;0;1;0;0;red;0;0;0;1;14;0;0;1;1;0;blue;red
Burundi;https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg;4;2;28;4;10;5;0;0;3;1;1;0;0;1;0;0;red;1;0;1;0;3;0;0;0;0;0;white;white
Cameroon;https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg;4;1;474;8;3;1;3;0;3;1;1;0;1;0;0;0;gold;0;0;0;0;1;0;0;0;0;0;green;gold
Canada;https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg;1;4;9976;24;1;1;2;0;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;1;0;red;red
Cape-Verde-Islands;https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg;4;4;4;0;6;0;1;2;5;1;1;0;1;0;1;1;gold;0;0;0;0;1;0;0;0;1;0;red;green
Cayman-Islands;https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;0;1;blue;1;1;1;1;4;0;0;1;1;1;white;blue
Central-African-Republic;https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg;4;1;623;2;10;5;1;0;5;1;1;1;1;1;0;0;gold;0;0;0;0;1;0;0;0;0;0;blue;gold
Chad;https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg;4;1;1284;4;3;5;3;0;3;1;0;1;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;blue;red
Chile;https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg;2;3;757;11;2;0;0;2;3;1;0;1;0;1;0;0;red;0;0;0;1;1;0;0;0;0;0;blue;red
China;https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg;5;1;9561;1008;7;6;0;0;2;1;0;0;1;0;0;0;red;0;0;0;0;5;0;0;0;0;0;red;red
Colombia;https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg;2;4;1139;28;2;0;0;3;3;1;0;1;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;gold;red
Comorro-Islands;https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg;4;2;2;0;3;2;0;0;2;0;1;0;0;1;0;0;green;0;0;0;0;4;1;0;0;0;0;green;green
Congo;https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg;4;2;342;2;10;5;0;0;3;1;1;0;1;0;0;0;red;0;0;0;0;1;0;0;1;1;0;red;red
Cook-Islands;https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg;6;3;0;0;1;1;0;0;4;1;0;1;0;1;0;0;blue;1;1;1;1;15;0;0;0;0;0;white;blue
Costa-Rica;https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg;1;4;51;2;2;0;0;5;3;1;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Cuba;https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg;1;4;115;10;2;6;0;5;3;1;0;1;0;1;0;0;blue;0;0;0;0;1;0;1;0;0;0;blue;blue
Cyprus;https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg;3;1;9;1;6;1;0;0;3;0;1;0;1;1;0;0;white;0;0;0;0;0;0;0;1;1;0;white;white
Czechoslovakia;https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg;3;1;128;15;5;6;0;0;3;1;0;1;0;1;0;0;white;0;0;0;0;0;0;1;0;0;0;white;red
Denmark;https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg;3;1;43;5;6;1;0;0;2;1;0;0;0;1;0;0;red;0;1;0;0;0;0;0;0;0;0;red;red
Djibouti;https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg;4;1;22;0;3;2;0;0;4;1;1;1;0;1;0;0;blue;0;0;0;0;1;0;1;0;0;0;white;green
Dominica;https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;1;0;green;1;0;0;0;10;0;0;0;1;0;green;green
Dominican-Republic;https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg;1;4;49;6;2;0;0;0;3;1;0;1;0;1;0;0;blue;0;1;0;0;0;0;0;0;0;0;blue;blue
Ecuador;https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg;2;3;284;8;2;0;0;3;3;1;0;1;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;gold;red
Egypt;https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg;4;1;1001;47;8;2;0;3;4;1;0;0;1;1;1;0;black;0;0;0;0;0;0;0;0;1;1;red;black
El-Salvador;https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg;1;4;21;5;2;0;0;3;2;0;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Equatorial-Guinea;https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg;4;1;28;0;10;5;0;3;4;1;1;1;0;1;0;0;green;0;0;0;0;0;0;1;0;0;0;green;red
Ethiopia;https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg;4;1;1222;31;10;1;0;3;3;1;1;0;1;0;0;0;green;0;0;0;0;0;0;0;0;0;0;green;red
Faeroes;https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg;3;4;1;0;6;1;0;0;3;1;0;1;0;1;0;0;white;0;1;0;0;0;0;0;0;0;0;white;white
Falklands-Malvinas;https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_Falkland_Islands.svg;2;3;12;0;1;1;0;0;6;1;1;1;1;1;0;0;blue;1;1;1;1;0;0;0;1;1;1;white;blue
Fiji;https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg;6;2;18;1;1;1;0;0;7;1;1;1;1;1;0;1;blue;0;2;1;1;0;0;0;1;1;0;white;blue
Finland;https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg;3;1;337;5;9;1;0;0;2;0;0;1;0;1;0;0;white;0;1;0;0;0;0;0;0;0;0;white;white
France;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;3;1;547;54;3;0;3;0;3;1;0;1;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;blue;red
French-Guiana;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;2;4;91;0;3;0;3;0;3;1;0;1;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;blue;red
French-Polynesia;https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg;6;3;4;0;3;0;0;3;5;1;0;1;1;1;1;0;red;1;0;0;0;1;0;0;1;0;0;red;red
Gabon;https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg;4;2;268;1;10;5;0;3;3;0;1;1;1;0;0;0;green;0;0;0;0;0;0;0;0;0;0;green;blue
Gambia;https://en.wikipedia.org/wiki/File:Flag_of_The_Gambia.svg;4;4;10;1;1;5;0;5;4;1;1;1;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Germany-DDR;https://upload.wikimedia.org/wikipedia/commons/a/a1/Flag_of_East_Germany.svg;3;1;108;17;4;6;0;3;3;1;0;0;1;0;1;0;gold;0;0;0;0;0;0;0;1;0;0;black;gold
Germany-FRG;https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg;3;1;249;61;4;1;0;3;3;1;0;0;1;0;1;0;black;0;0;0;0;0;0;0;0;0;0;black;gold
Ghana;https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg;4;4;239;14;1;5;0;3;4;1;1;0;1;0;1;0;red;0;0;0;0;1;0;0;0;0;0;red;green
Gibraltar;https://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg;3;4;0;0;1;1;0;1;3;1;0;0;1;1;0;0;white;0;0;0;0;0;0;0;1;0;0;white;red
Greece;https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg;3;1;132;10;6;1;0;9;2;0;0;1;0;1;0;0;blue;0;1;0;1;0;0;0;0;0;0;blue;blue
Greenland;https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg;1;4;2176;0;6;1;0;0;2;1;0;0;0;1;0;0;white;1;0;0;0;0;0;0;0;0;0;white;red
Grenada;https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg;1;4;0;0;1;1;0;0;3;1;1;0;1;0;0;0;gold;1;0;0;0;7;0;1;0;1;0;red;red
Guam;https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg;6;1;0;0;1;1;0;0;7;1;1;1;1;1;0;1;blue;0;0;0;0;0;0;0;1;1;1;red;red
Guatemala;https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg;1;4;109;8;2;0;3;0;2;0;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Guinea;https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg;4;4;246;6;3;2;3;0;3;1;1;0;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;red;green
Guinea-Bissau;https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg;4;4;36;1;6;5;1;2;4;1;1;0;1;0;1;0;gold;0;0;0;0;1;0;0;0;0;0;red;green
Guyana;https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg;2;4;215;1;1;4;0;0;5;1;1;0;1;1;1;0;green;0;0;0;0;0;0;1;0;0;0;black;green
Haiti;https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg;1;4;28;6;3;0;2;0;2;1;0;0;0;0;1;0;black;0;0;0;0;0;0;0;0;0;0;black;red
Honduras;https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg;1;4;112;4;2;0;0;3;2;0;0;1;0;1;0;0;blue;0;0;0;0;5;0;0;0;0;0;blue;blue
Hong Kong S.A.R.;https://upload.wikimedia.org/wikipedia/commons/5/5b/Flag_of_Hong_Kong.svg;5;1;1;5;7;3;0;0;6;1;1;1;1;1;0;1;blue;1;1;1;1;0;0;0;1;1;1;white;blue
Hungary;https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg;3;1;93;11;9;6;0;3;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Iceland;https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg;3;4;103;0;6;1;0;0;3;1;0;1;0;1;0;0;blue;0;1;0;0;0;0;0;0;0;0;blue;blue
India;https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg;5;1;3268;684;6;4;0;3;4;0;1;1;0;1;0;1;orange;1;0;0;0;0;0;0;1;0;0;orange;green
Indonesia;https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg;6;2;1904;157;10;2;0;2;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;white
Iran;https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg;5;1;1648;39;6;2;0;3;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;1;0;1;green;red
Iraq;https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg;5;1;435;14;8;2;0;3;4;1;1;0;0;1;1;0;red;0;0;0;0;3;0;0;0;0;0;red;black
Ireland;https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg;3;4;70;3;1;0;3;0;3;0;1;0;0;1;0;1;white;0;0;0;0;0;0;0;0;0;0;green;orange
Israel;https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg;5;1;21;4;10;7;0;2;2;0;0;1;0;1;0;0;white;0;0;0;0;1;0;0;0;0;0;blue;blue
Italy;https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg;3;1;301;57;6;0;3;0;3;1;1;0;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;green;red
Ivory Coast;https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg;4;4;323;7;3;5;3;0;3;1;1;0;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;red;green
Jamaica;https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg;1;4;11;2;1;1;0;0;3;0;1;0;1;0;1;0;green;0;0;1;0;0;0;1;0;0;0;gold;gold
Japan;https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg;5;1;372;118;9;7;0;0;2;1;0;0;0;1;0;0;white;1;0;0;0;1;0;0;0;0;0;white;white
Jordan;https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg;5;1;98;2;8;2;0;3;4;1;1;0;0;1;1;0;black;0;0;0;0;1;0;1;0;0;0;black;green
Kampuchea;;5;1;181;6;10;3;0;0;2;1;0;0;1;0;0;0;red;0;0;0;0;0;0;0;1;0;0;red;red
