name;image;landmass;zone;area;population;language;religion;bars;stripes;colours;red ;green;blue;gold;white;black;orange ;mainhue;circles;crosses;saltires;quarters;sunstars;crescent;triangle;icon;animate;text;topleft;botright
Kenya;https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg;4;1;583;17;10;5;0;5;4;1;1;0;0;1;1;0;red;1;0;0;0;0;0;0;1;0;0;black;green
Kiribati;https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg;6;1;0;0;1;1;0;0;4;1;0;1;1;1;0;0;red;0;0;0;0;1;0;0;1;1;0;red;blue
Kuwait;https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg;5;1;18;2;8;2;0;3;4;1;1;0;0;1;1;0;green;0;0;0;0;0;0;0;0;0;0;green;red
Laos;https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg;5;1;236;3;10;6;0;3;3;1;0;1;0;1;0;0;red;1;0;0;0;0;0;0;0;0;0;red;red
Lebanon;https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg;5;1;10;3;8;2;0;2;4;1;1;0;0;1;0;1;red;0;0;0;0;0;0;0;0;1;0;red;red
Lesotho;https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg;4;2;30;1;10;5;2;0;4;1;1;1;0;1;0;0;blue;0;0;0;0;0;0;0;1;0;0;green;blue
Liberia;https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg;4;4;111;1;10;5;0;11;3;1;0;1;0;1;0;0;red;0;0;0;1;1;0;0;0;0;0;blue;red
Libya;https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg;4;1;1760;3;8;2;0;0;1;0;1;0;0;0;0;0;green;0;0;0;0;0;0;0;0;0;0;green;green
Liechtenstein;https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg;3;1;0;0;4;0;0;2;3;1;0;1;1;0;0;0;red;0;0;0;0;0;0;0;1;0;0;blue;red
Luxembourg;https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg;3;1;3;0;4;0;0;3;3;1;0;1;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;blue
Malagasy;;4;2;587;9;10;1;1;2;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;white;green
Malawi;https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg;4;2;118;6;10;5;0;3;3;1;1;0;0;0;1;0;red;0;0;0;0;1;0;0;0;0;0;black;green
Malaysia;https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg;5;1;333;13;10;2;0;14;4;1;0;1;1;1;0;0;red;0;0;0;1;1;1;0;0;0;0;blue;white
Maldives;https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg;5;1;0;0;10;2;0;0;3;1;1;0;0;1;0;0;red;0;0;0;0;0;1;0;0;0;0;red;red
Mali;https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg;4;4;1240;7;3;2;3;0;3;1;1;0;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;green;red
Malta;https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg;3;1;0;0;10;0;2;0;3;1;0;0;0;1;1;0;red;0;1;0;0;0;0;0;1;0;0;white;red
Marianas;https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_the_Northern_Mariana_Islands.svg;6;1;0;0;10;1;0;0;3;0;0;1;0;1;0;0;blue;0;0;0;0;1;0;0;1;0;0;blue;blue
Mauritania;https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg;4;4;1031;2;8;2;0;0;2;0;1;0;1;0;0;0;green;0;0;0;0;1;1;0;0;0;0;green;green
Mauritius;https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg;4;2;2;1;1;4;0;4;4;1;1;1;1;0;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Mexico;https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg;1;4;1973;77;2;0;3;0;4;1;1;0;0;1;0;1;green;0;0;0;0;0;0;0;0;1;0;green;red
Micronesia;https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg;6;1;1;0;10;1;0;0;2;0;0;1;0;1;0;0;blue;0;0;0;0;4;0;0;0;0;0;blue;blue
Monaco;https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg;3;1;0;0;3;0;0;2;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;white
Mongolia;https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg;5;1;1566;2;10;6;3;0;3;1;0;1;1;0;0;0;red;2;0;0;0;1;1;1;1;0;0;red;red
Montserrat;https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Montserrat.svg;1;4;0;0;1;1;0;0;7;1;1;1;1;1;1;0;blue;0;2;1;1;0;0;0;1;1;0;white;blue
Morocco;https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg;4;4;447;20;8;2;0;0;2;1;1;0;0;0;0;0;red;0;0;0;0;1;0;0;0;0;0;red;red
Mozambique;https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg;4;2;783;12;10;5;0;5;5;1;1;0;1;1;1;0;gold;0;0;0;0;1;0;1;1;0;0;green;gold
Nauru;https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg;6;2;0;0;10;1;0;3;3;0;0;1;1;1;0;0;blue;0;0;0;0;1;0;0;0;0;0;blue;blue
Nepal;https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg;5;1;140;16;10;4;0;0;3;0;0;1;0;1;0;1;brown;0;0;0;0;2;1;0;0;0;0;blue;blue
Netherlands;https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg;3;1;41;14;6;1;0;3;3;1;0;1;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;blue
New Zealand;https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg;6;2;268;2;1;1;0;0;3;1;0;1;0;1;0;0;blue;0;1;1;1;4;0;0;0;0;0;white;blue
Nicaragua;https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg;1;4;128;3;2;0;0;3;2;0;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Niger;https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg;4;1;1267;5;3;2;0;3;3;0;1;0;0;1;0;1;orange;1;0;0;0;0;0;0;0;0;0;orange;green
Nigeria;https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg;4;1;925;56;10;2;3;0;2;0;1;0;0;1;0;0;green;0;0;0;0;0;0;0;0;0;0;green;green
Niue;https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Niue.svg;6;3;0;0;1;1;0;0;4;1;0;1;1;1;0;0;gold;1;1;1;1;5;0;0;0;0;0;white;gold
North Korea;https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg;5;1;121;18;10;6;0;5;3;1;0;1;0;1;0;0;blue;1;0;0;0;1;0;0;0;0;0;blue;blue
Yemen;https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg;5;1;195;9;8;2;0;3;4;1;1;0;0;1;1;0;red;0;0;0;0;1;0;0;0;0;0;red;black
Norway;https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg;3;1;324;4;6;1;0;0;3;1;0;1;0;1;0;0;red;0;1;0;0;0;0;0;0;0;0;red;red
Oman;https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg;5;1;212;1;8;2;0;2;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;1;0;0;red;green
Pakistan;https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg;5;1;804;84;6;2;1;0;2;0;1;0;0;1;0;0;green;0;0;0;0;1;1;0;0;0;0;white;green
Panama;https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg;2;4;76;2;2;0;0;0;3;1;0;1;0;1;0;0;red;0;0;0;4;2;0;0;0;0;0;white;white
Papua New Guinea;https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg;6;2;463;3;1;5;0;0;4;1;0;0;1;1;1;0;black;0;0;0;0;5;0;1;0;1;0;red;black
Parguay;https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg;2;3;407;3;2;0;0;3;6;1;1;1;1;1;1;0;red;1;0;0;0;1;0;0;1;1;1;red;blue
Peru;https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg;2;3;1285;14;2;0;3;0;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;red
Philippines;https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg;6;1;300;48;10;0;0;0;4;1;0;1;1;1;0;0;blue;0;0;0;0;4;0;1;0;0;0;blue;red
Poland;https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg;3;1;313;36;5;6;0;2;2;1;0;0;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;white;red
Portugal;https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg;3;4;92;10;6;0;0;0;5;1;1;1;1;1;0;0;red;1;0;0;0;0;0;0;1;0;0;green;red
Puerto Rico;https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Puerto_Rico.svg;1;4;9;3;2;0;0;5;3;1;0;1;0;1;0;0;red;0;0;0;0;1;0;1;0;0;0;red;red
Qatar;https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg;5;1;11;0;8;2;0;0;2;0;0;0;0;1;0;1;brown;0;0;0;0;0;0;0;0;0;0;white;brown
Romania;https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg;3;1;237;22;6;6;3;0;7;1;1;1;1;1;0;1;red;0;0;0;0;2;0;0;1;1;1;blue;red
Rwanda;https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg;4;2;26;5;10;5;3;0;4;1;1;0;1;0;1;0;red;0;0;0;0;0;0;0;0;0;1;red;green
San Marino;https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg;3;1;0;0;6;0;0;2;2;0;0;1;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;white;blue
Sao-Tome;;4;1;0;0;6;0;0;3;4;1;1;0;1;0;1;0;green;0;0;0;0;2;0;1;0;0;0;green;green
Saudi Arabia;https://commons.wikimedia.org/wiki/File:Flag_of_Saudi_Arabia.svg;5;1;2150;9;8;2;0;0;2;0;1;0;0;1;0;0;green;0;0;0;0;0;0;0;1;0;1;green;green
Senegal;https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg;4;4;196;6;3;2;3;0;3;1;1;0;1;0;0;0;green;0;0;0;0;1;0;0;0;0;0;green;red
Seychelles;https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg;4;2;0;0;1;1;0;0;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Sierra Leone;https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg;4;4;72;3;1;5;0;3;3;0;1;1;0;1;0;0;green;0;0;0;0;0;0;0;0;0;0;green;blue
Singapore;https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg;5;1;1;3;7;3;0;2;2;1;0;0;0;1;0;0;white;0;0;0;0;5;1;0;0;0;0;red;white
Soloman Islands;https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg;6;2;30;0;1;1;0;0;4;0;1;1;1;1;0;0;green;0;0;0;0;5;0;1;0;0;0;blue;green
Somalia;https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg;4;1;637;5;10;2;0;0;2;0;0;1;0;1;0;0;blue;0;0;0;0;1;0;0;0;0;0;blue;blue
South Africa;https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg;4;2;1221;29;6;1;0;3;5;1;1;1;0;1;0;1;orange;0;1;1;0;0;0;0;0;0;0;orange;blue
South Korea;https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg;5;1;99;39;10;7;0;0;4;1;0;1;0;1;1;0;white;1;0;0;0;0;0;0;1;0;0;white;white
South-Yemen;;5;1;288;2;8;2;0;3;4;1;0;1;0;1;1;0;red;0;0;0;0;1;0;1;0;0;0;red;black
Spain;https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg;3;4;505;38;2;0;0;3;2;1;0;0;1;0;0;0;red;0;0;0;0;0;0;0;0;0;0;red;red
Sri Lanka;https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg;5;1;66;15;10;3;2;0;4;0;1;0;1;0;0;1;gold;0;0;0;0;0;0;0;1;1;0;gold;gold
Saint Helena;https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Saint_Helena.svg;4;3;0;0;1;1;0;0;7;1;1;1;1;1;0;1;blue;0;1;1;1;0;0;0;1;0;0;white;blue
Saint Kitts and Nevis;https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg;1;4;0;0;1;1;0;0;5;1;1;0;1;1;1;0;green;0;0;0;0;2;0;1;0;0;0;green;red
Saint Lucia;https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg;1;4;0;0;1;1;0;0;4;0;0;1;1;1;1;0;blue;0;0;0;0;0;0;1;0;0;0;blue;blue
Saint Vincent and the Grenadines;https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg;1;4;0;0;1;1;5;0;4;0;1;1;1;1;0;0;green;0;0;0;0;0;0;0;1;1;1;blue;green
Sudan;https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg;4;1;2506;20;8;2;0;3;4;1;1;0;0;1;1;0;red;0;0;0;0;0;0;1;0;0;0;red;black
Suriname;https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg;2;4;63;0;6;1;0;5;4;1;1;0;1;1;0;0;red;0;0;0;0;1;0;0;0;0;0;green;green
Swaziland;https://upload.wikimedia.org/wikipedia/commons/f/fb/Flag_of_Eswatini.svg;4;2;17;1;10;1;0;5;7;1;0;1;1;1;1;1;blue;0;0;0;0;0;0;0;1;0;0;blue;blue
Sweden;https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg;3;1;450;8;6;1;0;0;2;0;0;1;1;0;0;0;blue;0;1;0;0;0;0;0;0;0;0;blue;blue
Switzerland;https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg;3;1;41;6;4;1;0;0;2;1;0;0;0;1;0;0;red;0;1;0;0;0;0;0;0;0;0;red;red
Syria;https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg;5;1;185;10;8;2;0;3;4;1;1;0;0;1;1;0;red;0;0;0;0;2;0;0;0;0;0;red;black
Taiwan;https://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg;5;1;36;18;7;3;0;0;3;1;0;1;0;1;0;0;red;1;0;0;1;1;0;0;0;0;0;blue;red
Tanzania;https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg;4;2;945;18;10;5;0;0;4;0;1;1;1;0;1;0;green;0;0;0;0;0;0;1;0;0;0;green;blue
Thailand;https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg;5;1;514;49;10;3;0;5;3;1;0;1;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;red
Togo;https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg;4;1;57;2;3;7;0;5;4;1;1;0;1;1;0;0;green;0;0;0;1;1;0;0;0;0;0;red;green
Tonga;https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg;6;2;1;0;10;1;0;0;2;1;0;0;0;1;0;0;red;0;1;0;1;0;0;0;0;0;0;white;red
Trinidad and Tobago;https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg;2;4;5;1;1;1;0;0;3;1;0;0;0;1;1;0;red;0;0;0;0;0;0;1;0;0;0;white;white
Tunisia;https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg;4;1;164;7;8;2;0;0;2;1;0;0;0;1;0;0;red;1;0;0;0;1;1;0;0;0;0;red;red
Turkey;https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg;5;1;781;45;9;2;0;0;2;1;0;0;0;1;0;0;red;0;0;0;0;1;1;0;0;0;0;red;red
Turks and Caicos Islands;https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;0;1;blue;0;1;1;1;0;0;0;1;1;0;white;blue
Tuvalu;https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg;6;2;0;0;1;1;0;0;5;1;0;1;1;1;0;0;blue;0;1;1;1;9;0;0;0;0;0;white;blue
United Arab Emirates;https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg;5;1;84;1;8;2;1;3;4;1;1;0;0;1;1;0;green;0;0;0;0;0;0;0;0;0;0;red;black
Uganda;https://commons.wikimedia.org/wiki/File:Flag_of_Uganda.svg;4;1;236;13;10;5;0;6;5;1;0;0;1;1;1;0;gold;1;0;0;0;0;0;0;0;1;0;black;red
United Kingdom;https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg;3;4;245;56;1;1;0;0;3;1;0;1;0;1;0;0;red;0;1;1;0;0;0;0;0;0;0;white;red
Uruguay;https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg;2;3;178;3;2;0;0;9;3;0;0;1;1;1;0;0;white;0;0;0;1;1;0;0;0;0;0;white;white
United States Virgin Islands;https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_the_United_States_Virgin_Islands.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;0;0;white;0;0;0;0;0;0;0;1;1;1;white;white
British Virgin Islands;https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg;1;4;0;0;1;1;0;0;6;1;1;1;1;1;0;0;white;0;0;0;0;0;0;0;1;1;1;white;white
United States of America;https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg;1;4;9363;231;1;1;0;13;3;1;0;1;0;1;0;0;white;0;0;0;1;50;0;0;0;0;0;blue;red
USSR;;5;1;22402;274;5;6;0;0;2;1;0;0;1;0;0;0;red;0;0;0;0;1;0;0;1;0;0;red;red
Vanuatu;https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg;6;2;15;0;6;1;0;0;4;1;1;0;1;0;1;0;red;0;0;0;0;0;0;1;0;1;0;black;green
Vatican;https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Vatican_City.svg;3;1;0;0;6;0;2;0;4;1;0;0;1;1;1;0;gold;0;0;0;0;0;0;0;1;0;0;gold;white
Venezuela;https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg;2;4;912;15;2;0;0;3;7;1;1;1;1;1;1;1;red;0;0;0;0;7;0;0;1;1;0;gold;red
Vietnam;https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg;5;1;333;60;10;6;0;0;2;1;0;0;1;0;0;0;red;0;0;0;0;1;0;0;0;0;0;red;red
Samoa;https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg;6;3;3;0;1;1;0;0;3;1;0;1;0;1;0;0;red;0;0;0;1;5;0;0;0;0;0;blue;red
Yugoslavia;;3;1;256;22;6;6;0;3;4;1;0;1;1;1;0;0;red;0;0;0;0;1;0;0;0;0;0;blue;red
Zaire;;4;2;905;28;10;5;0;0;4;1;1;0;1;0;0;1;green;1;0;0;0;0;0;0;1;1;0;green;green
Zambia;https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg;4;2;753;6;10;5;3;0;4;1;1;0;0;0;1;1;green;0;0;0;0;0;0;0;0;1;0;green;brown
Zimbabwe;https://commons.wikimedia.org/wiki/File:Flag_of_Zimbabwe.svg;4;2;391;8;10;5;0;7;5;1;1;0;1;1;1;0;green;0;0;0;0;1;0;1;1;1;0;green;green
